载重吨（deadweight）,总吨（grosstonnage）,净吨（nettonnage）,船长,船宽,设计吃水,设计航速,最大航速,运营航速,排水量,型深,主机缸径（mainenginebore）,主机型号,主机气缸数,主机冲程类型,主机类型,最大功率_制动力,制动力功率,最大功率_千瓦,运营功率,螺旋桨类型,推进器类型,主机总马力,主机总千瓦数,vessel_age,remark_ann_ship,num
69260,66433,37567,279.9,40.3,14.021,25.9,0,25.7,0,24.1,900,12K90MC-C,12,2,Oil,74518,0,54809,0,Fixed Pitch,"Oil Engine(s), Direct Drive",74518,54809,20,20000_20502_xindalian,1
69303,66433,37567,279.9,40.3,14.021,25.9,0,25.7,0,24.1,900,12K90MC-C,12,2,Oil,74397,0,54720,0,Fixed Pitch,"Oil Engine(s), Direct Drive",74397,54720,21,20000_20502_xindalian,2
69423,66433,37567,279.9,40.3,14.021,25.9,0,25.7,0,24.1,900,12K90MC-C,12,2,Oil,74397,0,54720,0,Fixed Pitch,"Oil Engine(s), Direct Drive",74397,54720,21,20000_20502_xindalian,3
69272,66452,37567,279.9,40.3,14.021,25.9,0,25.7,0,24.1,900,12K90MC-C,12,2,Oil,74518,0,54809,0,Fixed Pitch,"Oil Engine(s), Direct Drive",74518,54809,20,20000_20502_xindalian,4
69235,66452,37567,279.9,40.3,14.021,25.9,0,25.7,0,24.1,900,12K90MC-C,12,2,Oil,74396,0,54719,0,Fixed Pitch,"Oil Engine(s), Direct Drive",74396,54719,20,20000_20502_xindalian,5
69024,66433,37567,279.9,40.3,14.021,25.9,0,25.7,87872,24.1,900,12K90MC-C,12,2,Oil,74397,0,54720,0,Fixed Pitch,"Oil Engine(s), Direct Drive",74397,54720,21,20000_20502_xindalian,6
69303,66433,37567,279.9,40.3,14.02,25.9,0,25.7,0,24.1,900,12K90MC-C,12,2,Oil,74518,0,54809,0,Fixed Pitch,"Oil Engine(s), Direct Drive",74518,54809,21,20000_20502_xindalian,7
68961,66433,37567,279.9,40.3,14.021,25.9,0,25.7,0,24.1,900,12K90MC-C,12,2,Oil,74518,0,54809,0,Fixed Pitch,"Oil Engine(s), Direct Drive",74518,54809,20,20000_20502_xindalian,8
69229,66452,37567,279.9,40.3,14.021,25.9,0,25.7,0,24.1,900,12K90MC-C,12,2,Oil,74397,0,54720,0,Fixed Pitch,"Oil Engine(s), Direct Drive",74397,54720,19,20000_20502_xindalian,9
69024,66433,37567,279.9,40.3,14.021,25.9,0,25.7,0,24.1,900,12K90MC-C,12,2,Oil,74397,0,54720,0,Fixed Pitch,"Oil Engine(s), Direct Drive",74397,54720,21,20000_20502_xindalian,10
69303,66433,37567,279.9,40.3,14.021,25.9,0,25.7,0,24.1,900,12K90MC-C,12,2,Oil,74397,0,54720,0,Fixed Pitch,"Oil Engine(s), Direct Drive",74397,54720,21,20000_20502_xindalian,11
69225,66452,37567,279.9,40.3,14.02,25.9,0,25.7,0,24.1,900,12K90MC-C,12,2,Oil,74518,0,54809,0,Fixed Pitch,"Oil Engine(s), Direct Drive",74518,54809,19,20000_20502_xindalian,12
69308,66452,37567,279.9,40.3,14.021,27.9,0,25.7,0,24.1,900,12K90MC-C,12,2,Oil,74396,0,54719,0,Fixed Pitch,"Oil Engine(s), Direct Drive",74396,54719,20,20000_20502_xindalian,13
